,name,city,date,review
1262,Екатерина,Красноярск,2023-06-23,Хороший банк. Рекомендую. Очень удобно пользоваться. Хорошее мобильное приложение. Быстрое обслуживание. Есть бонусы. Рассрочка. Кеш бек.
6550,Андрей,Оренбург,2021-04-28,"Здравствуйте,  подал заявку на сельскую ипотеку , заявка была одобрена в тот же день и через несколько дней , заявки в Сбербанке перестали принимать . После чего звонил операторам Сбербанка через дом.клик , где меня уверяли , что вы не переживайте и можете спокойно выбирать жильё, ЧТО ЛИМИТЫ НА ВАС РАСПРОСТРАНЯЮТСЯ И ЧТО ЗАКОНЧАТСЯ ДЕНЬГИ , этого точно не будет ! 
после чего начали долго и с трудом искать объекты , в течении двух месяцев определились , оплатил оценку , оплатил договор купли продажи , внёс задаток продавцу в большом размере чтобы загасить его кредит и снять обременение с таунхауса! 
после чего узнаём о новости в апреле , что лимиты Минсельхоза исчерпаны и уже не одобряют объекты , снова звоню в сбербанк и я и продавец , где нас уверяют, что лимиты под вас рассчитаны и не переживайте , все будет нормально ! далее отправляем объект на одобрение , Сбербанк в тот же день объект одобряет, после чего сотрудник банка звонит и говорит теперь ждём ответа от мин сельхоза , но это якобы формальность и нужно подождать просто две недели.
ждем две недели и сегодня , только после моего личного звонка мне говорят , что ЛИМИТЫ ИСЧЕРПАНЫ ! И вы не получите ставку 2.7%!!! 

На вопрос, как же так если лимиты на нас были рассчитаны и сотрудники банка нас в этом уверяли , мне ничего не ответили !!! 

ШОК И РАССТЕРЯННОСТЬ ОТ РАБОТЫ И ОБЕЩАНИЙ СОТРУДНИКОВ СБЕРБАНКА !!! 

после чего сказали , подождите возможно будут субсидии ещё выделены к 17 мая . НО ПОСЛЕ ОДОБРНИЯ ОБЪЕКТА МНЕ ПРОДЛИЛИ СРОК ВСЕГО ДО 13 мая! А то, что У НАС в мае 11 выходных дней объявлено ПРЕЗИДЕНТОМ им все равно !!! Попросил продлить этот срок в связи с праздниками , чтобы дождаться субсидирования , но мне ОТКАЗАЛИ ! 

все записи разговоров у Сбербанка сохранены , ПРОШУ ОТРЕАГИРОВАТЬ И НАЙТИ ВЫХОД ИЗ ДАННОЙ СИТУАЦИИ !!!"
6412,Алёна,Свободный,2021-09-16,"Оставили заявку на ипотеку через домклик и сначала все было хорошо- менеджеры вежливые, объясняют все нюансы, прям золотые сотрудники сбера. Но потом... После одобрения ипотеки у каждого менеджера свое мнение по поводу обязательных услуг и дополнительных продуктов. С горем пополам разобрались что обязательно, что снижает ставку а что просто стоит в плане менеджера. Нас убедили в необходимости купить у сбера договор купли-продажи, мол так проблем меньше будет (говорили что банк придирается к договорам купленным не у них). Ладно, купили. Но сколько ошибок приходилось исправлять, и сколько раз - это уже другой разговор. Пришли мы в офис банка в назначенные день и время, подождали 20 минут пока менеджер исправит неполадки с компьютером и началось... Менеджер-молодая, вежливая девушка, постоянно бегала от окошка к окошку и постоянно кому-то звонила (как оказалось, это её первая сделка и она понятия не имела что делать). Мы провели в банке 4 часа 20 минут (после закрытия отделения мы продолжали оформление ещё 50 минут). С горем пополам сделка была заключена и мы пошли домой, ждать заветное СМС о завершении электронной регистрации сделки. Но проходит 4 рабочих дня, и выяснилось что допустили ошибку в договоре купли-продажи и необходимо срочно переподписать договор (на выяснения этой ошибки ушёл рабочий день и за это время нам успели прислать пустое дополнительное соглашение (без фамилий, изменённых пунктов и прочего)). Ладно. Подписали. Ночью пришло заветное СМС об успешной регистрации. Казалось бы на этом все и должно было закончиться. Но нет. Пошла я в ПФР подавать документы на перевод МСК продавцу, и по мнению сотрудника ПФР договор купли-продажи составлен не верно (в двух пунктах допущены ошибки). Ладно. Заказываю звонок с домклика. Менеджеры перекидывают мой вызов друг другу и не спешат помочь исправить ошибку банка. Пришлось позвонить менеджеру которая оформляла нашу сделку (она звонила один раз с личного номера и он у меня остался, обычно я против звонков на личный номер, но ситуация безвыходная). Менеджер выслушала меня и сказала что их договора всегда одобряются ПФР, но обещала помочь. Я написала ей СМС с содержанием правильных пунктов и стала ждать. После обеда она мне перезвонила и сказала что договор они исправили, и можно завтра утром его забрать. Ок. Так мы и сделали. На мой вопрос, можно ли так просто изменить содержание договора, мне сказали да, ничего страшного не будет. Ладно. Иду в ПФР снова, там мне крутят пальцем у виска и снова отправляют в сбербанк заключать дополнительное соглашение. Вот сейчас сижу и составляю дополнительное соглашение, потому что никаких сил и никакого желания снова связываться со сбербанком нет.
За что они берут 2900 мне не понятно. Договор не правильный, с ошибками, исправляют через раз и спустя рукава. Почему сотрудник не обучен- тоже не понятно. Почему к новому сотруднику не проставили куратора - тоже загадка.
В общем, сложилось впечатление, что на нашей сделке юридический отдел сбера (или кто у них составляют договора купли-продажи) отдыхал, а менеджеры вместо кофе пьют тормозную жидкость."
1235,Ольга,Ульяновск,2023-06-27,"Удобно пользоваться картой Халва и вносить деньги по графику рассрочки. Понятное приложение, приятные бонусы."
6399,Виктор,Всеволожск,2021-09-27,"Оформил 18.08.2021 кредитную карту, с небольшим лимитом 20000 руб. Покупки совершал в основном на Aliexpress. 21.09.2021 перевел в личном кабинете на кредитную карту 3000 руб. для пополнения счета. 25.09.2021 в личном кабинете увидел, что на балансе карты этих 3000 нет. При попытке проверить баланс в банкомате печатается сообщение: карта не обслуживается. Начал звонить в поддержу по тел. 900. После долгих переводов моего звонка от одного специалиста другому, ничего кроме идиотских предположений, что деньги ушли на погашение процентов, не услышал. Каких процентов, если я картой пользовался чуть больше месяца? После третьего или четвертого звонка, мне сказали, что надо обратиться в отделение, для смены кодового слова. В субботу найти работающее отделение проблемно, если к тому же живешь за городом. Повезло,  нашёл в г. Всеволожске офис 55/9055/01007, К-на Елена Викторовна, которая смогла разобраться с проблемой и составить обращения. По результатам обращении со мной никто пока не связывался, но пришло СМС с вопросом оценить работу. И вот решил написать отзыв, о работе данной организации. При таком подходе к работе с финансовыми инструментами, может стоит больше внимания уделить развозу пиццы и других продуктов. А финансами пусть занимаются другие?"
5279,Наталья,Вязники,2023-05-28,"Этот банк, по сравнению с другими, которыми я пользовалась ранее, самый лучший и удобный. Не берут плату за обслуживание и переводы. Повышенный кешбек с покупок. Приложение предельно понятное. У меня все члены семьи имеют дебетовые карты Тинькофф банка."
6665,Ольга,Талица,2020-12-28,"Хотела оформить ипатеку на домклик, оплатила за дкп. Из за доп условий пришлось отказаться от ипатеки. Менеджер обещала вернуть деньги за дкп. С октября 2020 они так их и не вернули"
5411,Максим,Москва,2023-05-16,"Впечатлился решением проблемы с пересчетом кэшбэка. Хотел уточнить правильно ли сам рассчитал и где, почему не вышло суммы которую я планировал получить. 
Оказалось что действительно я просчитался. 
Но оператор Игорь 148101 смог решить вопрос в мою пользу и добился изменения кэшбэка. Спасибо!
Желаю всем операторам чаще вспоминать девиз - клиент всегда прав! Даже если и не прав 😂😂
Ну вот теперь даже не ловко)"
3563,Дмитрий,Казань,2019-12-11,"Навязали страховку, при оформлении кредита сказали, что после досрочного погашения можно будет вернуть часть страховки, так вот нет. Нет, нет и ещё раз нет. Не возвращают. Страховка стоила 93000 руб. За год я досрочно погасил кредит, страховку не возвращают мол это добровольно, думаю ладно хотел взять ещё один, прихожу снова навязывают и я тут опа, а у меня она есть, а они нет мол на каждый договор нужен новый этот не годиться. А без новой страховки отказывают либо процент увеличивается.
"
4506,Юлия,Уфа,2023-05-10,"Завела кредитку легко и непринужденно. Все оформила онлайн, даже из дома не выходила. Банк одобрил хороший кредитный лимит, который даже увеличился через 4 месяца. Теперь мне не приходится бегать в банк, чтобы подключить нужные услуги или получить новые карты. Условия у карты классные, пользуюсь без заморочек. Кешбеки тоже прилетают после покупок у партнеров Альфа-банка, как обещали. Снимаю наличку без лишних проблем и комиссий, также легко отправляю деньги родным. В целом, я в восторге от возможностей этой карты, которая не подводит за все время использования."
4778,Иванна,Барнаул,2022-12-06,"Неприятная ситуация с Альфа банком.
Мной была напралена ссылка другу по акции  ""приведи друга и получите по 2000т.р"". 
Друг по моей ссылке (не являясь клиентом) оформил карту, выполнил условия и ему кеш в виде 2000т.р пришли, а мне как рекомендателю ссылки на эту кк нет.
При обращении в кол 
Центр сотрудники составили претензию по каторой ответ пришёл, что банк по ""какой то"" причине отклонил мою ссылку и как будто мой друг оформил карту самостоятелтно без рекомендации став участником акции.
Ему начислены кеш 2000 т.к он новый клиент АБ выполнил условия и ему начислено претензий нет.
НО...
А я как рекомедатель карты не получаю ничего...потму что произошла ошибка и банк в одностороннем порядке может изменить и условия акции, и условия по выдаче кретитных карт.
Т.е банк обманывает своих клиентов дабы привлеч новых."
5479,Александр,Краснодар,2023-05-07,"Быстро и удобно зарегистрировал ИП, быстро открыли расчетный счёт. Сотрудники банка помогли с разными вопросами"
66,Денис,Санкт-Петербург,2023-04-11,"Я Решил оформить рефинансирование кредитки в этом банке.В рефинансировании отказали ,но одобрили кредит наличными.Я ещё поинтересовался,а смысл этого всего,мне сказали что так получилось.Изначально я хотел закрыть кредитку в Райфайзен банке на 175 тыс рублей,но от банка Открытие  мне пришло смс,что мне одобрен кредит наличными на сумму 445 тыс рублей на 60 месяцев,по ставке 14.9 процентов годовых.Я согласился на эти условия ,ещё в смс было указано ,что банк мне в ближайшее время перезвонит ,это было 7.04.2023.В понедельник 10.04.2023 я решил сам позвонить на горячую линию по номеру 800,меня соединили с оператором,с которым мы договорились что 11.04.2023 ко мне домой придет представитель банка с суммой,которую мы оговорили заранее,предварительно мне позвонив ,но в этот день мне ко мне никто и не пришел.Причем ,когда мне до этого звонил оператор и я отказался от страховки,то процентная ставка с 14,9 возросла до 29.9.Я решил опять позвонить по номеру 800 и что я слышу,они даже не видят заявку на кредит наличными ,но у них появилась какая-то кредитная карта.Я опять позвонил на горячую линию и попросил все посмотреть,но оператор не увидел кредита наличными ,только кредитку.Что в итоге мы имееи-ничего,в смс мне одобрен кредит наличными ,по факту ничего нет,в смс одна процентная ставка,в Реале совсем другая.Мошеники,по другому их  не назвать .Могу прикрепить смс,в котором все указано,там и близко не написано про страховку,а ту ставку,которую рекламируют по телевизору можно смело посмеяться и забыть ,так как даже близко у вас не будет такой ставки.Я в этот банк больше бы не обращусь ,в первый и последний раз.Отношение как к животным.Если должны позвонить за сутки,то будьте добры-звоните,а тут забивают .Номер заявки для обратной связи 57107010,это та ситуация ,где в рефинансировании отказали,но кредит наличными по ставке 29.9 одобрили(хотя в смс сообщении изначально стояла ставка 14.9))"
4421,Владимир,Москва,2023-07-04,"Доброго дня, активно пользуюсь продуктами этого банка, для покупки крупной техники мне нужна была большая сумма средств. Как давний клиент сегодня 4 июля обратился в поддержку VK на странице Банка и сотрудник поддержки предложил мне карту Год без %. Рассказал все условия, про долгий беспроцентный период и возможность снятия средств без комиссии. Меня конечно же устроили условия и мы оформили карту. Были небольшие косяки с доставкой, но они успешно решены, благодарю за консультацию"
1860,Нечунаева,Краснотурьинск,2023-03-01,"Зашли сегодня с дочерью в Краснотурьинский филиал Газпромбанка, чтобы открыть вклад и просидели в очереди 2 с лишним часа, так как в банке действует непонятная система обслуживания по талонам, всех клиентов, которые пришли в банк после нас, вызывали  раньше нас, и мы просидели 2.5 часа, несмотря на то, что у дочери грудной 3-х месячный ребенок дома и мы несколько раз сказали об этом сотрудникам офиса, что мы не можем ждать так долго. Мы глубоко возмущены уровнем обслуживания и отношением к клиентам в этом офисе банка. Сотрудники работают очень медленно, создавая огромные очереди. Люди возмущаются, но ничего не меняется."
2276,Алла,Москва,2022-05-13,"Потому что все удобно и все для клиентов: сайт, приложния, условия, карточки. Признаться, я за свои 25 впервые коммуналку сама оплатила, раньше это за меня делали. Но вот получила умную карту и во всем разобралась быстро в том числе потому, что в приложении газпромбанка все элементарно. Наконец-то банк стал для людей"
1705,Елена,Петрозаводск,2023-05-19,"Была в отпуске за границей. Возникли вопросы по кредитному доктору. Очень чётко всё объяснили, растолковали"
2922,Анонимный,Ростов-на-Дону,2022-11-14,"Оформила через сайт ВТБ дебетовую карту ВТБ. Это было 2 ноября 2022 года, дважды звонила в банк, с вопросами о том, когда курьер доставит карту, но банк кормит ""завтраками"", создали заявку и всё, плевать им на клиентов. 12 дней жду курьера, видимо вложу деньги в другой банк, этот очень нехороший"
876,Пользователь,Воркута,2023-07-21,"Оплачиваю жкх каждый месяц по  карте халва (Совкомбанк). Выгодно получается, экономлю на комиссиях еще и кэшбэк получаю. Также всегда самые выгодные ставки по вкладам!"
2907,Сабина,Астрахань,2022-11-23,"21.10.2022 АО ДОМ РФ перевел денежные средства по гос поддержке с детьми, 450 тысяч на погашение ипотеки. На сегодняшний день 23.11.22 денежные средства на мой счёт так и не были зачислены. 2.11.22 я написала обращение в банк о том, чтобы нашли мои денежные средства, но банк каждый раз передвигает сроки рассмотрения обращения. Сегодня прислали оповещение о том что срок продлён до 30.11.2022.Дом РФ предоставил и номер платёжного поручения по которому были перечислены денежные средства и номер счета куда они были зачислены. Но банк ВТБ в свою очередь не может ничего сделать."
6254,Денис,Санкт-Петербург,2022-03-14,"Здравствуйте хочу обратить внимание всех и предостеречь всех от любых финансовых отношений с данной кредитной организацией.

Вот моя история.

Приобрел товар в интернет магазине озон 07.03.2022 и оплатил по карте VISA ПАО СберБанк привязанной к системе Apple Pay. К сожалению по причине не возможности поставки товара заказ был отменен и соответственно был оформлен возврат денежных средств. Площадка озон за что ей спасибо оперативно направила возврат денежных средств в банк, буквально через две минуты. Раньше я много раз осуществлял возвраты с площадки озон и денежные средства возвращались в среднем за сутки (иногда за пару часов). 11.03 я забил тревогу так как деньги не поступили и платежные системы apple pay, visa и мастер кард приостановили свою работу в РФ. Я обратился в поддержку озон с вопрос могло ли повлиять отключение вышеуказанных платежных систем на возврат на что мне порекомендовали обратиться в обслуживающий банк и сообщили RRN номер для отслеживания платежа. И вот тут начался ад с поддержкой клиентов ПАО СберБанк. Я обратился в поддержку описал свою проблему и сказал, что возврат денежных средств оформлен именно в день отключения в РФ платёжных систем, в том числе apple pay, а так же сообщил RNN номер для отслеживания платежа. На что я получил стандартную отписку по срокам зачисления платежей. Я еще раз объяснил, что ситуация не стандартная и требует разбирательства. После я получил опять же стандартную отписку. сотрудники банка даже не вникали в мою проблему и не учитывал нестандартность данной ситуации и не предложил хотя бы составить обращение по данной проблеме. Итог денежные средства в сумме 7090 рублей непонятно где, ПАО СБЕРБАНК наплевать на своих клиентов и их проблемы. Всем кто читает данный отзыв рекомендую закрыть счета , кредиты и вклады в указанном банке и отнести их тем кто хочет работать и разбираться в проблемах своих клиентов."
3883,Яна,Оренбург,2023-07-17,"Я клиент альфа банка и могу с уверенностью сказать что этот банк лучший потому что неоднократно выручал меня в нужны моменты моей жизни 
Тот кто жалуется я могу лишь сказать научитесь пользоваться кредитными картами а не жалуйтесь что банки плохие 
Да данный момент альфа банк один из лучших банков в рф по хорошим предложениям"
3825,Роман,Владивосток,2023-07-19,"Классная карта без процентов. Очень удобно и если соблюдать условия, то не будет никаких переплат и процентов"
1097,Юлия,Щекино,2023-07-05,"Очень нравится банк, удобно платить по рассрочке, да и вообще просто нравится , уже больше трех лет пользуюсь услугами этого банка"
4454,Георгий,Москва,2023-06-01,"Обратился в банк за небольшим кредитом, но сотрудница в моем случае посоветовала открыть кредитную карту  для решения моего вопроса. Честно говоря, раньше не пользовался кредитками, но оформил. А сейчас не жалею.И кэшбэк  от партнеров  радует. Банк устанавливает кредитный лимит, которым можно беспрепятственно пользоваться. Я воспользовался рассрочкой у партнеров магазинов банка ,купил новый телефон жене,оплата покупки в рассрочку ничем не отличается от обычной операции по карте. РЕКОМЕНДУЮ ."
127,Илья,Москва,2022-09-16,"Обратился в банк. Объяснил, что нуждаюсь в потребительском кредите. Девушка, тактичная и вежливая сотрудница, быстро обрисовала варианты и выгодные продукты банка. Остановился на наименьшей ставке. Одобрение заявки и оформление прошло очень быстро. Думал, что потрачу несколько дней. Очень доволен. И автомобиль купил, и кредит намереваюсь досрочно выплатить."
6373,Татьяна,Москва,2021-10-21,Выражаю благодарность сотруднику сбербанка на ул.Рудневка д.37 Л. Светлане за помощь в решение ситуации.
5371,Королев,Вологда,2023-05-22,"Очень классные специалисты, мастера своего дела. Могу особенно персонально выделить специалиста поддержки Семёна с индивидуальным номером 558260, клиентоориентированность на высшем уровне, оставил о себе безумно приятные ощущения и эмоции. Так же вел ИП с банком, все очень удобно и особенно радует персональный подход к каждому клиенту. Благодарю за работу!"
3752,Андрей,Чехов,2018-03-03,"16.02.2018 г. я обратился в ДО «На Советской» Филиала № 7701Банка ВТБ (ПАО) по адресу: Московская область, г. Чехов, Советская пл., д. 5, с заявлением о выдаче потребительского кредита. На следующий день, то есть 17.02.2018 г., я был приглашен в офис банка, где были оформлены Уведомление о полной стоимости кредита на сумму 965,909.00 руб. и заявление на включение в число участников программы коллективного страхования в рамках страхового продукта «Финансовый резерв» по программе «Финансовый резерв Профи» в Банке ВТБ (ПАО) со страховой премией в размере 115,909.00 руб. При этом Правила кредитования, из которых были бы понятны условия предоставления кредита и их зависимость от страхования, и которые являются составной частью Кредитного договора, согласно п.20 Согласия на кредит, мне предоставлены не были. Ш-ва А.В. (сотрудник банка) не предупредила о последствиях присоединения к коллективному договору страхования. Напротив, она заведомо ввела меня в заблуждение, уверив в том, что от страховки в любой момент можно отказаться и в случае досрочного погашения кредита сумма страховки за неиспользованные месяцы будет возвращена.

В тот же день, 17.02.2018 г., изучив переданные мне наконец документы, я убедился в том, что меня намеренно ввели в заблуждение, навязав необязательную услугу, я направил по электронной почте в Банк ВТБ (ПАО) заявление об отказе включения меня в число участников программы коллективного страхования. Такое же заявление было направлено по электронной почте в ООО СК «ВТБ Страхование».

В первый же рабочий день, то есть 19.02.2018 г., с заявлением об отказе включения меня в число участников программы коллективного страхования Банк ВТБ (ПАО) я обратился в отделение банка, предоставившего кредит, по адресу: Московская область, г. Чехов, Советская пл., д. 5, где получил отказ в приеме данного заявления. Вместо этого мне было предложено написать Обращение клиента. На следующий день моё обращение в отделении банка все же было принято.
Сотруднику банка не могло быть не известно, что, согласно п. 3.2.2 Условиям по страховому продукту «Финансовый резерв» в Банке ВТБ, находящимся на официальном сайте указанного банка, не принимаются на страхование по Программе «Финансовый резерв Профи» определенные категории лиц, в том числе военнослужащие, которым я являюсь, в силу чего вышеуказанный договор с момента его заключения не может считаться действительным. На момент подписания договора с вышеуказанными условиями я также не был ознакомлен. О том, что я являюсь военнослужащим, сотрудник не мог не знать (я был в форменном обмундировании, являюсь участником военной ипотеки в этом же банке). До настоящего момента мое обращение не рассмотрено, деньги не возвращены. Наверное, придется жаловаться в ЦБ России и другие инстанции. Действия сотрудника банка уж очень подходят под определение мошенничества.
Никогда более не обращусь в этот банк, никому не буду его советовать. Приложу максимальные усилия, чтобы перевести ипотеку в другой банк. Кстати, денежные средства, предоставленные мне в кредит, я вернул, остался открытым только вопрос со страховкой. За те несколько дней, что прошли до момента возврата мною в банк денег, мне уже насчитали проценты в размере 5000 рублей!!! В том числе и с суммы страховки, хотя договор заключен незаконно."
5738,Пользователь,Воронеж,2023-04-05,"Пользуюсь услугами банка с 2016 года и каждый день убеждаюсь, что он лучший. У меня есть счета во всех популярных банках, но приятно и удобно работать только с Тинькофф. Не понимаю староверов, которые отдают предпочтение банкам с филиалами, чтобы иметь возможность постоять в очереди в духоте, когда нормальный банк может решить любой вопрос в чате. Индивидуальный подход к клиенту, оперативная реакция и всегда приятное решение вопросов есть только здесь благодаря чутким менеджерам! Спасибо, Мария 555192"
4672,Мария,Москва,2023-03-02,"В альфа банке была открыта их беспроцентная кредитка, я получила ее в подарок к своей альфа карте. С тех пор прошел уже почти год, воспользовалась я ей один раз перед прошлым отпуском. С того времени у меня уже получилось подкопить денегс помощью альфа счета, поэтому надобность в кредитке отпала и я решила ее закрыть.
В приложении заполнила заявление на закрытие карты и счета. Примерно через месяц карта пропала у меня из лк, и я еще запросила справку о закрытии в чате поддержки. Ответили не сразу, конечно, но справку прислали. 
Я рада, что не возникло никаких проблем при закрытии."
477,Антонина,Москва,2020-11-02,"Бонусные рубли по карте опенкард открытия приходят в следующем месяце и это не может не радовать)) я каждый раз выбираю новую категорию, исходя из предстоящих трат, но там и на остальное 1% есть!)"
3357,no name,Павловский Посад,2021-02-16,"Пакет услуг Мультикарта, который подразумевает бесплатное обслуживание при выполнении условий(оборот 5000р.).

​

Столкнулся со следующей ситуацией. Либо это недоработка ПО(никто не хочет этим заниматься) либо ""Мы так решили"" и это наши правила.

При обороте в 5000р. данный пакет бесплатно, если нет то 249р. в месяц.

​

В декабре делаю оборот 30000р. - в январе за декабрь обслуживание бесплатно плюс по опции повышенная ставка по опции ""Сбережения"".

В январе делаю оборот7000р. - получаю штраф 249 и не получаю повышенную ставку.

Разбираемся(на второй день после переключения на 8го оператора), оказывается в январе был возврат за покупку декабря(3400). И горячо любимый банк не заморачиваясь считает Оборот минус Возврат. Т.Е. они не проверяют за какую покупку в каком периоде возврат и уменьшил ли возврат оборот в том месяце. Они просто ТУПО минусуют из текущего месяца.

Я был бы согласен с ситуацией если бы в декабре оборот составлял например 7000, я получил бонусы... в январе приходит возврат за покупку в декабре... И оборот за декабрь упал(бонусы за декабрь получены незаконно), штраф.

​

НО оборот декабря 30000, января 7000. все условия соблюдены НО с январским возвратом на 3400 всем наплевать.

​

Отвратительная арифметика, не клиентно-ориентированная"
4237,татьяна,Краснодар,2023-07-12,"В данном банке, у меня кредитная карта. Очень нравится без % период. Карта действительно выручает, когда нужно. При этом если оплатить в срок, то период без % начнётся заново"
2214,Мальцев,Москва,2022-06-08,"Не рекомендую никому обслуживаться в Газпромбанке, полная некомпетентность сотрудников и тупые допотопные правила. 04.06.22 обратился в отделение на Красной Пресне 21, сразу обозначил что нужен накопительный счет, сумму и то что понять буду через СБП. Операционист выдала карту и своими руками в приложении на моем телефоне открыла накопительный счет, при этом 2 раза введя свой номер в функции ""поблагодарить сотрудника"" (я до этого с такой наглостью только в пунктах выдачи сталкивался). Далее вечером оказалось что СБП на карте не работает (колл центр естественно рассказывал про параллельные миры, кэш и проблемы в других банках, но это явно их тормоза, через сутки всё заработало) и даже если бы работало, в первые сутки есть ограничения на перевод между своими счетами, пополнение через банкомат - 200 т.р. в день. Получается кроме как через кассу в день получения карты накопительный счет на крупную сумму не пополнить никак, и мне об этом даже не намекнули, операционист своими руками испортила мне накопительный по акции, т.к. сейчас он просто бесполезен (начисление идет на минимальный остаток) и второй по акции мне не открыть."
