,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
5404,1,0,0,1,Meal Plan 1,0,Room_Type 4,44,3,31,Online,0,0,0,104.4,1,Not_Canceled
5405,2,0,1,4,Meal Plan 1,0,Room_Type 4,159,9,28,Online,0,0,0,133.2,1,Canceled
5406,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,13,Offline,0,0,0,95.0,0,Not_Canceled
5407,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,11,1,Online,0,0,0,110.0,0,Canceled
5408,2,0,2,4,Meal Plan 1,0,Room_Type 1,1,1,17,Online,0,0,0,90.33,1,Not_Canceled
5409,1,0,2,2,Meal Plan 1,0,Room_Type 1,10,11,13,Online,0,0,0,97.0,2,Not_Canceled
5410,2,0,1,2,Meal Plan 1,0,Room_Type 4,74,12,26,Online,0,0,0,102.6,1,Not_Canceled
5411,2,0,0,1,Meal Plan 1,1,Room_Type 1,60,10,11,Online,0,0,0,127.8,1,Not_Canceled
5412,2,0,2,5,Meal Plan 1,0,Room_Type 4,69,4,14,Online,0,0,0,110.99,1,Canceled
5413,2,0,2,3,Meal Plan 1,0,Room_Type 4,2,9,20,Offline,0,0,0,75.0,0,Not_Canceled
5414,2,0,1,1,Not Selected,0,Room_Type 1,42,9,19,Online,0,0,0,112.59,1,Canceled
5415,3,0,2,2,Meal Plan 1,0,Room_Type 4,41,12,2,Online,0,0,0,130.9,2,Not_Canceled
5416,2,0,0,3,Not Selected,0,Room_Type 1,113,6,9,Online,0,0,0,116.1,0,Not_Canceled
5417,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2,17,Offline,0,0,0,75.0,0,Not_Canceled
5418,1,0,0,1,Meal Plan 1,0,Room_Type 1,107,6,10,Offline,0,0,0,120.0,0,Not_Canceled
5419,2,0,2,0,Meal Plan 1,0,Room_Type 1,48,9,11,Offline,0,0,0,85.5,0,Not_Canceled
5420,2,0,0,1,Meal Plan 1,0,Room_Type 1,67,11,13,Online,0,0,0,72.25,2,Not_Canceled
5421,3,0,0,1,Meal Plan 1,0,Room_Type 1,61,5,4,Online,0,0,0,159.3,1,Not_Canceled
5422,2,1,0,1,Meal Plan 1,0,Room_Type 1,75,10,20,Online,0,0,0,135.0,0,Canceled
5423,2,0,0,3,Meal Plan 1,0,Room_Type 1,87,6,9,Online,0,0,0,97.71,0,Not_Canceled
5424,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,9,15,Online,0,0,0,120.0,0,Canceled
5425,2,0,0,4,Meal Plan 1,0,Room_Type 4,78,4,6,Online,0,0,0,108.45,1,Not_Canceled
5426,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,3,17,Offline,0,0,0,82.4,0,Not_Canceled
5427,2,2,2,3,Meal Plan 1,0,Room_Type 6,14,10,22,Online,0,0,0,199.8,1,Not_Canceled
5428,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,8,4,Online,0,0,0,151.0,1,Not_Canceled
5429,2,0,0,1,Meal Plan 1,0,Room_Type 1,254,7,9,Online,0,0,0,106.0,0,Canceled
5430,2,0,1,4,Meal Plan 1,0,Room_Type 1,19,2,15,Online,0,0,0,91.0,2,Canceled
5431,2,0,1,0,Meal Plan 1,0,Room_Type 1,62,9,4,Online,0,0,0,109.8,0,Canceled
5432,2,0,0,2,Meal Plan 1,0,Room_Type 1,315,12,2,Offline,0,0,0,52.0,0,Not_Canceled
5433,2,0,0,3,Meal Plan 1,0,Room_Type 4,77,10,25,Online,0,0,0,104.4,2,Not_Canceled
5434,1,0,2,5,Meal Plan 1,0,Room_Type 1,1,11,11,Offline,0,0,0,65.0,0,Not_Canceled
5435,2,0,1,0,Meal Plan 1,0,Room_Type 4,6,8,21,Online,0,0,0,145.0,2,Not_Canceled
5436,2,0,0,2,Not Selected,0,Room_Type 1,51,12,9,Online,0,0,0,79.2,1,Not_Canceled
5437,2,0,2,4,Not Selected,0,Room_Type 1,126,6,26,Online,0,0,0,80.75,1,Not_Canceled
5438,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,11,18,Online,0,0,0,52.0,0,Canceled
5439,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,4,8,Offline,0,0,0,75.0,1,Not_Canceled
5440,2,0,3,5,Meal Plan 1,0,Room_Type 1,213,5,29,Offline,0,0,0,80.24,1,Not_Canceled
5441,1,0,1,1,Meal Plan 2,0,Room_Type 1,4,5,21,Offline,0,0,0,91.0,1,Not_Canceled
5442,2,0,1,3,Meal Plan 1,0,Room_Type 1,230,5,12,Online,0,0,0,83.78,2,Not_Canceled
5443,3,0,2,5,Meal Plan 1,0,Room_Type 4,123,10,21,Online,0,0,0,139.24,0,Not_Canceled
5444,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,8,20,Online,0,0,0,76.5,0,Canceled
5445,1,0,1,4,Meal Plan 1,0,Room_Type 7,29,9,28,Online,0,0,0,279.2,1,Canceled
5446,3,0,2,2,Meal Plan 1,0,Room_Type 4,19,7,3,Online,0,0,0,187.0,2,Not_Canceled
5447,2,0,2,2,Meal Plan 1,0,Room_Type 1,208,6,11,Offline,0,0,0,80.24,2,Not_Canceled
5448,2,0,2,1,Meal Plan 1,0,Room_Type 1,104,5,14,Online,0,0,0,126.9,1,Not_Canceled
5449,2,0,1,3,Not Selected,0,Room_Type 1,52,4,11,Online,0,0,0,89.25,1,Not_Canceled
5450,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,11,1,Online,0,0,0,110.0,0,Canceled
5451,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,12,30,Online,0,0,0,122.5,1,Not_Canceled
5452,2,0,1,4,Meal Plan 2,0,Room_Type 1,49,12,28,Online,0,0,0,145.61,1,Not_Canceled
5453,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,1,18,Corporate,1,1,1,65.0,0,Not_Canceled
5454,2,0,1,3,Meal Plan 1,1,Room_Type 1,0,11,9,Online,0,0,0,106.0,1,Not_Canceled
5455,2,0,0,4,Meal Plan 1,0,Room_Type 1,88,7,1,Online,0,0,0,76.5,1,Canceled
5456,2,0,0,3,Meal Plan 1,0,Room_Type 1,70,3,24,Offline,0,0,0,59.5,0,Not_Canceled
5457,2,0,2,5,Meal Plan 1,0,Room_Type 1,32,10,17,Offline,0,0,0,85.0,0,Not_Canceled
5458,1,0,2,1,Meal Plan 1,0,Room_Type 1,52,12,5,Offline,0,0,0,37.33,0,Not_Canceled
5459,2,2,1,3,Meal Plan 1,0,Room_Type 6,43,3,24,Online,0,0,0,186.4,1,Not_Canceled
5460,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,5,31,Corporate,0,0,0,100.0,0,Canceled
5461,2,0,1,1,Meal Plan 1,0,Room_Type 1,59,11,19,Offline,0,0,0,75.0,0,Not_Canceled
5462,2,0,2,1,Meal Plan 1,1,Room_Type 1,3,12,27,Online,0,0,0,81.3,1,Not_Canceled
5463,2,0,0,3,Meal Plan 1,0,Room_Type 1,106,3,24,Online,0,0,0,96.3,1,Canceled
5464,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,7,5,Complementary,1,0,7,0.0,1,Not_Canceled
5465,2,0,0,1,Meal Plan 2,0,Room_Type 1,0,9,30,Offline,0,0,0,112.2,0,Not_Canceled
5466,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,10,6,Offline,1,1,0,80.0,0,Not_Canceled
5467,2,0,2,2,Not Selected,0,Room_Type 1,186,9,30,Online,0,0,0,102.6,2,Canceled
5468,2,0,2,1,Not Selected,0,Room_Type 1,15,5,7,Online,0,0,0,109.0,0,Canceled
5469,2,0,1,2,Not Selected,0,Room_Type 1,57,6,20,Online,0,0,0,68.61,1,Not_Canceled
5470,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,8,14,Offline,0,0,0,109.0,0,Not_Canceled
5471,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,11,20,Offline,0,0,0,73.0,0,Not_Canceled
5472,2,0,1,1,Not Selected,0,Room_Type 1,6,5,23,Online,0,0,0,119.0,2,Not_Canceled
5473,1,0,1,2,Meal Plan 1,0,Room_Type 1,55,5,30,Online,0,0,0,109.35,0,Canceled
5474,2,0,1,3,Meal Plan 1,0,Room_Type 1,69,3,28,Online,0,0,0,82.45,0,Not_Canceled
5475,2,0,1,4,Meal Plan 1,0,Room_Type 1,114,9,12,Online,0,0,0,129.6,1,Not_Canceled
5476,2,0,2,3,Meal Plan 2,0,Room_Type 1,46,3,4,Offline,0,0,0,103.0,0,Not_Canceled
5477,2,0,2,1,Meal Plan 1,0,Room_Type 4,34,11,1,Offline,0,0,0,60.0,0,Not_Canceled
5478,1,0,0,1,Meal Plan 1,0,Room_Type 1,22,11,17,Corporate,0,0,0,62.0,0,Not_Canceled
5479,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,11,16,Complementary,0,0,0,0.0,0,Not_Canceled
5480,2,0,0,2,Not Selected,0,Room_Type 1,96,11,25,Online,0,0,0,79.2,2,Canceled
5481,2,0,1,3,Meal Plan 1,0,Room_Type 4,44,10,29,Online,0,0,0,104.63,2,Not_Canceled
5482,2,0,0,1,Meal Plan 1,1,Room_Type 1,46,12,10,Online,0,0,0,102.6,1,Not_Canceled
5483,2,0,1,3,Meal Plan 1,0,Room_Type 4,130,5,12,Online,0,0,0,113.05,1,Canceled
5484,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,11,12,Online,0,0,0,85.0,0,Not_Canceled
5485,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,10,29,Online,0,0,0,70.0,0,Canceled
5486,3,0,0,2,Meal Plan 1,0,Room_Type 4,129,8,25,Online,0,0,0,137.7,0,Not_Canceled
5487,2,2,1,3,Meal Plan 1,0,Room_Type 1,0,3,21,Online,0,0,0,165.0,0,Not_Canceled
5488,2,0,2,4,Meal Plan 1,0,Room_Type 4,7,6,16,Online,0,0,0,156.0,1,Canceled
5489,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,7,6,Online,0,0,0,110.0,0,Canceled
5490,2,0,0,1,Meal Plan 1,0,Room_Type 1,115,2,27,Online,0,0,0,1.0,0,Not_Canceled
5491,2,1,1,3,Meal Plan 1,0,Room_Type 1,215,8,29,Online,0,0,0,106.25,1,Canceled
5492,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,5,30,Offline,0,0,0,80.75,0,Not_Canceled
5493,2,1,2,6,Meal Plan 1,0,Room_Type 1,190,8,2,Online,0,0,0,123.75,0,Canceled
5494,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,3,22,Complementary,0,0,0,0.0,2,Not_Canceled
5495,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,4,20,Offline,0,0,0,80.0,0,Not_Canceled
5496,2,0,2,0,Not Selected,0,Room_Type 1,1,8,28,Online,0,0,0,85.5,0,Not_Canceled
5497,2,0,0,1,Meal Plan 1,0,Room_Type 1,21,3,1,Offline,0,0,0,64.8,0,Not_Canceled
5498,3,0,0,1,Meal Plan 1,0,Room_Type 4,85,8,24,Online,0,0,0,177.3,0,Not_Canceled
5499,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,5,13,Online,0,0,0,61.0,0,Canceled
5500,2,0,1,2,Meal Plan 1,0,Room_Type 1,229,8,5,Online,0,0,0,96.3,1,Not_Canceled
5501,2,2,0,1,Meal Plan 1,0,Room_Type 2,32,9,2,Online,0,0,0,198.9,0,Canceled
5502,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,3,4,Online,0,0,0,88.4,0,Not_Canceled
5503,1,0,0,5,Meal Plan 1,0,Room_Type 1,76,9,15,Online,0,0,0,80.75,1,Not_Canceled
5504,2,0,1,0,Not Selected,0,Room_Type 1,1,1,3,Online,0,0,0,75.0,0,Not_Canceled
5505,3,0,2,4,Meal Plan 2,0,Room_Type 1,155,9,16,Online,0,0,0,126.48,0,Canceled
5506,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,12,26,Offline,0,0,0,52.0,1,Not_Canceled
5507,2,0,2,3,Meal Plan 1,0,Room_Type 1,67,7,24,Online,0,0,0,105.3,3,Not_Canceled
5508,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,8,14,Offline,0,0,0,109.0,0,Not_Canceled
5509,3,0,0,3,Meal Plan 1,0,Room_Type 4,86,12,8,Online,0,0,0,140.0,2,Not_Canceled
5510,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2,3,Corporate,1,0,1,41.0,0,Not_Canceled
5511,2,0,1,2,Meal Plan 1,0,Room_Type 3,180,10,10,Online,0,0,0,130.0,0,Canceled
5512,2,0,0,3,Meal Plan 1,0,Room_Type 1,204,5,5,Online,0,0,0,100.0,0,Canceled
5513,2,0,1,2,Meal Plan 1,0,Room_Type 1,9,1,4,Online,0,0,0,87.0,2,Not_Canceled
5514,3,0,1,3,Meal Plan 1,0,Room_Type 4,81,5,16,Online,0,0,0,150.45,2,Not_Canceled
5515,2,0,0,1,Meal Plan 1,0,Room_Type 1,167,7,30,Online,0,0,0,105.3,2,Canceled
5516,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,8,31,Online,0,0,0,122.0,1,Canceled
5517,2,0,0,2,Meal Plan 1,0,Room_Type 1,42,5,12,Online,0,0,0,116.1,0,Not_Canceled
5518,2,0,2,3,Meal Plan 1,0,Room_Type 1,25,11,22,Offline,0,0,0,65.0,0,Not_Canceled
5519,2,0,0,1,Not Selected,0,Room_Type 1,2,2,13,Online,0,0,0,79.0,0,Canceled
5520,2,0,0,2,Meal Plan 1,0,Room_Type 4,64,9,16,Online,0,0,0,149.4,1,Not_Canceled
5521,2,0,2,5,Meal Plan 1,0,Room_Type 1,151,9,4,Online,0,0,0,126.9,2,Canceled
5522,2,0,1,3,Not Selected,0,Room_Type 1,6,12,15,Online,0,0,0,66.3,0,Not_Canceled
5523,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2,11,Online,0,0,0,91.0,1,Not_Canceled
5524,2,0,0,4,Meal Plan 1,0,Room_Type 1,55,3,1,Online,0,0,0,78.08,1,Not_Canceled
5525,3,0,1,2,Meal Plan 1,0,Room_Type 4,47,3,28,Online,0,0,0,123.3,0,Canceled
5526,2,0,2,1,Meal Plan 2,0,Room_Type 5,39,1,9,Offline,0,0,0,114.8,0,Not_Canceled
5527,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,6,9,Online,0,0,0,117.9,0,Canceled
5528,1,0,2,2,Meal Plan 1,0,Room_Type 1,50,12,3,Offline,0,0,0,63.75,0,Not_Canceled
5529,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,11,9,Corporate,1,0,5,94.0,1,Not_Canceled
5530,2,0,1,2,Meal Plan 1,0,Room_Type 1,237,9,14,Online,0,0,0,89.25,0,Canceled
5531,2,0,2,2,Meal Plan 1,0,Room_Type 1,72,6,26,Online,0,0,0,75.82,0,Not_Canceled
5532,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2,18,Online,0,0,0,85.0,0,Canceled
5533,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,11,4,Online,0,0,0,89.0,0,Canceled
5534,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,7,6,Online,0,0,0,110.0,0,Canceled
5535,2,0,0,1,Not Selected,0,Room_Type 1,184,10,12,Online,0,0,0,98.1,0,Canceled
5536,2,0,0,3,Meal Plan 1,0,Room_Type 4,31,3,23,Online,0,0,0,151.4,1,Not_Canceled
5537,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,6,24,Online,0,0,0,115.0,1,Canceled
5538,2,0,0,3,Meal Plan 1,0,Room_Type 4,72,12,30,Online,0,0,0,120.67,0,Not_Canceled
5539,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,9,8,Online,0,0,0,110.0,1,Canceled
5540,2,0,0,4,Meal Plan 1,0,Room_Type 4,62,11,25,Offline,0,0,0,60.0,0,Not_Canceled
5541,1,0,2,3,Meal Plan 1,0,Room_Type 1,269,12,29,Offline,0,0,0,70.0,1,Not_Canceled
5542,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,7,21,Corporate,0,0,0,65.0,0,Not_Canceled
5543,1,0,1,3,Meal Plan 1,0,Room_Type 1,85,10,6,Offline,0,0,0,75.0,0,Not_Canceled
5544,1,1,2,1,Not Selected,0,Room_Type 1,8,10,29,Online,0,0,0,92.66,1,Not_Canceled
5545,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,9,30,Offline,0,0,0,108.0,0,Not_Canceled
5546,2,0,0,2,Meal Plan 1,0,Room_Type 2,330,10,14,Online,0,0,0,106.7,1,Canceled
5547,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,3,25,Online,0,0,0,130.0,0,Canceled
5548,1,0,0,1,Not Selected,0,Room_Type 1,21,9,28,Online,0,0,0,129.0,2,Not_Canceled
5549,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,8,6,Online,0,0,0,89.0,0,Canceled
5550,2,1,4,7,Meal Plan 1,0,Room_Type 1,19,4,9,Online,0,0,0,140.05,2,Not_Canceled
5551,1,0,1,0,Not Selected,0,Room_Type 1,5,4,18,Online,0,0,0,64.68,1,Not_Canceled
5552,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,4,22,Online,0,0,0,106.0,0,Canceled
5553,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,10,11,Online,0,0,0,120.0,1,Canceled
5554,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,10,6,Offline,1,1,0,90.0,0,Not_Canceled
5555,2,0,0,2,Meal Plan 1,0,Room_Type 1,64,5,17,Corporate,0,0,0,140.0,1,Not_Canceled
5556,2,0,1,2,Meal Plan 1,0,Room_Type 1,8,4,29,Offline,0,0,0,95.0,1,Not_Canceled
5557,2,0,0,4,Meal Plan 1,0,Room_Type 4,166,6,29,Online,0,0,0,99.45,0,Canceled
5558,1,0,0,2,Meal Plan 2,0,Room_Type 1,239,6,15,Online,0,0,0,90.6,0,Canceled
5559,2,0,2,2,Not Selected,0,Room_Type 1,10,12,23,Online,0,0,0,74.8,1,Not_Canceled
5560,1,0,0,1,Meal Plan 1,0,Room_Type 1,105,9,28,Corporate,1,1,11,65.0,0,Not_Canceled
5561,1,0,0,3,Meal Plan 2,0,Room_Type 1,36,10,13,Offline,0,0,0,91.0,0,Not_Canceled
5562,1,0,0,3,Meal Plan 1,0,Room_Type 1,76,5,17,Online,0,0,0,126.9,0,Not_Canceled
5563,2,0,0,1,Meal Plan 1,1,Room_Type 1,0,8,11,Online,0,0,0,133.0,1,Not_Canceled
5564,3,0,2,5,Meal Plan 1,0,Room_Type 4,56,12,9,Online,0,0,0,119.0,2,Not_Canceled
5565,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,10,15,Offline,0,0,0,100.0,0,Not_Canceled
5566,2,0,2,1,Meal Plan 1,0,Room_Type 1,27,10,9,Offline,0,0,0,85.5,0,Not_Canceled
5567,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,10,7,Online,0,0,0,107.0,2,Not_Canceled
5568,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,6,20,Online,0,0,0,120.0,0,Canceled
5569,2,0,2,3,Meal Plan 1,0,Room_Type 1,12,12,3,Online,0,0,0,89.59,0,Not_Canceled
5570,1,0,1,2,Not Selected,0,Room_Type 1,120,6,27,Online,0,0,0,85.5,0,Not_Canceled
5571,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,6,2,Offline,0,0,0,100.0,0,Not_Canceled
5572,2,0,0,5,Not Selected,0,Room_Type 1,171,8,2,Online,0,0,0,89.25,0,Canceled
5573,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,9,4,Offline,0,0,0,116.0,0,Not_Canceled
5574,1,0,2,7,Meal Plan 1,0,Room_Type 1,3,12,22,Online,0,0,0,67.5,0,Not_Canceled
5575,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,9,29,Online,0,0,0,139.5,2,Not_Canceled
5576,3,0,1,0,Meal Plan 1,0,Room_Type 4,119,9,19,Online,0,0,0,162.0,1,Not_Canceled
5577,2,0,0,2,Meal Plan 1,0,Room_Type 1,226,9,16,Online,0,0,0,126.9,1,Canceled
5578,1,0,1,1,Meal Plan 1,0,Room_Type 1,16,9,21,Offline,0,0,0,65.45,0,Not_Canceled
5579,2,0,2,3,Meal Plan 1,0,Room_Type 4,118,5,1,Online,0,0,0,107.95,0,Not_Canceled
5580,2,0,0,1,Meal Plan 1,0,Room_Type 1,93,4,15,Online,0,0,0,90.95,0,Not_Canceled
5581,3,0,1,0,Meal Plan 1,0,Room_Type 4,0,5,9,Online,0,0,0,149.0,0,Not_Canceled
5582,2,0,2,0,Not Selected,0,Room_Type 1,14,6,12,Online,0,0,0,109.0,1,Not_Canceled
5583,3,0,1,3,Meal Plan 1,0,Room_Type 4,127,7,25,Online,0,0,0,130.05,0,Not_Canceled
5584,2,0,0,3,Meal Plan 1,0,Room_Type 1,229,10,27,Online,0,0,0,70.44,0,Canceled
5585,2,0,1,1,Not Selected,0,Room_Type 1,151,8,13,Online,0,0,0,103.5,0,Canceled
5586,1,0,0,1,Meal Plan 1,0,Room_Type 1,46,3,1,Offline,0,0,0,59.32,0,Not_Canceled
5587,2,0,2,1,Meal Plan 1,0,Room_Type 1,54,10,29,Offline,0,0,0,95.0,1,Not_Canceled
5588,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,13,Offline,0,0,0,105.0,0,Not_Canceled
5589,2,0,1,3,Meal Plan 1,0,Room_Type 1,199,4,14,Online,0,0,0,106.2,1,Canceled
5590,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,6,3,Online,0,0,0,100.0,0,Canceled
5591,1,0,0,3,Meal Plan 2,0,Room_Type 1,88,5,3,Offline,0,0,0,96.0,0,Not_Canceled
5592,2,0,0,2,Meal Plan 1,0,Room_Type 1,86,9,24,Offline,0,0,0,105.0,0,Not_Canceled
5593,2,0,0,3,Not Selected,0,Room_Type 1,124,5,5,Online,0,0,0,94.5,1,Canceled
5594,2,0,1,0,Not Selected,0,Room_Type 1,35,7,25,Online,0,0,0,125.1,0,Canceled
5595,2,0,1,3,Meal Plan 1,0,Room_Type 4,13,12,26,Online,0,0,0,119.0,0,Not_Canceled
5596,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,4,20,Online,0,0,0,62.8,0,Canceled
5597,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,9,15,Online,0,0,0,120.0,0,Canceled
5598,2,2,3,8,Meal Plan 1,0,Room_Type 6,346,12,26,Online,0,0,0,146.59,2,Canceled
5599,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,10,23,Online,0,0,0,90.0,0,Canceled
5600,2,0,1,3,Meal Plan 1,0,Room_Type 1,24,2,29,Offline,0,0,0,45.5,0,Not_Canceled
5601,2,1,2,5,Meal Plan 2,0,Room_Type 1,120,8,20,Offline,0,0,0,88.38,4,Not_Canceled
5602,1,0,2,1,Meal Plan 1,0,Room_Type 4,1,9,19,Online,0,0,0,170.0,1,Not_Canceled
5603,3,0,2,1,Meal Plan 1,0,Room_Type 4,113,8,6,Online,0,0,0,121.21,0,Canceled
5604,2,0,2,2,Meal Plan 1,0,Room_Type 1,183,8,27,Online,0,0,0,90.95,0,Canceled
5605,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,4,19,Online,0,0,0,115.0,0,Canceled
5606,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,1,21,Online,0,0,0,81.0,1,Not_Canceled
5607,1,0,1,2,Meal Plan 1,0,Room_Type 1,3,12,5,Corporate,0,0,0,79.0,0,Not_Canceled
5608,2,0,0,3,Meal Plan 1,0,Room_Type 1,112,6,2,Offline,0,0,0,120.0,1,Not_Canceled
5609,2,0,2,2,Not Selected,0,Room_Type 1,55,11,11,Online,0,0,0,74.8,2,Not_Canceled
5610,2,0,1,1,Meal Plan 2,0,Room_Type 1,37,10,22,Offline,0,0,0,115.0,0,Not_Canceled
5611,2,0,1,2,Not Selected,0,Room_Type 1,65,9,5,Online,0,0,0,91.2,0,Canceled
5612,2,0,1,2,Not Selected,0,Room_Type 1,23,10,17,Online,0,0,0,119.0,3,Not_Canceled
5613,2,0,0,1,Not Selected,0,Room_Type 1,65,10,28,Online,0,0,0,80.1,2,Not_Canceled
5614,2,0,0,3,Not Selected,0,Room_Type 1,68,5,10,Online,0,0,0,116.1,0,Canceled
5615,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,15,Online,0,0,0,130.0,0,Canceled
5616,2,0,0,3,Meal Plan 1,0,Room_Type 1,204,5,5,Online,0,0,0,100.0,0,Canceled
5617,1,0,0,1,Meal Plan 1,0,Room_Type 1,51,3,16,Corporate,0,0,0,85.5,0,Not_Canceled
5618,2,0,2,3,Meal Plan 1,0,Room_Type 4,12,12,4,Online,0,0,0,105.9,0,Not_Canceled
5619,2,0,1,2,Meal Plan 1,0,Room_Type 4,185,12,16,Online,0,0,0,103.5,0,Not_Canceled
5620,2,0,0,3,Meal Plan 1,0,Room_Type 4,303,10,27,Online,0,0,0,105.3,3,Not_Canceled
5621,2,2,0,2,Meal Plan 1,0,Room_Type 6,38,3,23,Online,0,0,0,171.0,0,Canceled
5622,3,0,0,2,Meal Plan 1,0,Room_Type 4,9,2,12,Online,0,0,0,139.0,1,Not_Canceled
5623,1,0,1,0,Meal Plan 1,0,Room_Type 1,110,10,9,Online,0,0,0,120.0,0,Canceled
5624,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,12,10,Online,0,0,0,89.89,0,Not_Canceled
5625,1,0,2,5,Meal Plan 1,0,Room_Type 1,26,12,6,Online,0,0,0,88.4,3,Not_Canceled
5626,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2,19,Corporate,0,0,0,81.0,0,Not_Canceled
5627,1,0,0,2,Meal Plan 1,0,Room_Type 1,45,3,11,Online,0,0,0,71.1,0,Canceled
5628,2,0,1,2,Meal Plan 1,0,Room_Type 4,39,10,12,Online,0,0,0,83.16,2,Not_Canceled
5629,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,15,Online,0,0,0,130.0,0,Canceled
5630,2,0,1,1,Not Selected,1,Room_Type 1,5,9,17,Online,0,0,0,154.0,4,Not_Canceled
5631,2,0,1,3,Meal Plan 1,0,Room_Type 4,184,10,17,Online,0,0,0,128.7,2,Canceled
5632,2,0,1,2,Meal Plan 1,1,Room_Type 1,95,8,5,Online,0,0,0,126.9,1,Not_Canceled
5633,2,0,0,3,Meal Plan 1,0,Room_Type 1,176,10,11,Offline,0,0,0,80.75,0,Not_Canceled
5634,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,9,30,Offline,0,0,0,108.0,0,Not_Canceled
5635,1,0,0,3,Meal Plan 1,0,Room_Type 1,227,12,8,Online,0,0,0,72.9,0,Canceled
5636,2,0,2,5,Meal Plan 1,0,Room_Type 1,204,8,18,Online,0,0,0,94.59,1,Canceled
5637,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,8,18,Corporate,0,0,0,75.0,0,Canceled
5638,2,1,2,0,Meal Plan 1,0,Room_Type 1,13,12,6,Offline,0,0,0,76.5,3,Not_Canceled
5639,2,0,2,1,Meal Plan 1,0,Room_Type 1,40,2,6,Offline,0,0,0,40.67,0,Not_Canceled
5640,2,0,2,2,Meal Plan 1,0,Room_Type 1,179,9,30,Online,0,0,0,113.4,0,Canceled
5641,2,0,2,1,Meal Plan 2,0,Room_Type 1,122,3,27,Offline,0,0,0,107.0,1,Not_Canceled
5642,2,0,2,3,Meal Plan 1,0,Room_Type 1,111,2,14,Online,0,0,0,87.0,0,Not_Canceled
